gene,gene_symbol,gene_label,mean_abs_shap
232392_at,SRSF3,SRSF3,0.0004636652692677
239629_at,,239629_at,0.0004634276310149
233700_at,,233700_at,0.0004628511462742
209583_s_at,CD200,CD200,0.0004619214419271
220948_s_at,ATP1A1,ATP1A1,0.0004611503499587
209252_at,HARS2,HARS2,0.0004577774941247
200637_s_at,PTPRF,PTPRF,0.0004575317738063
209336_at,PWP2,PWP2,0.0004559492038937
200801_x_at,ACTB,ACTB,0.0004550270664848
229541_at,,229541_at,0.0004531307055101
224280_s_at,MTFR1L,MTFR1L,0.0004519526726333
218735_s_at,ZNF544,ZNF544,0.0004517376667181
221893_s_at,ADCK2,ADCK2,0.000450892659327
221495_s_at,TCF25,TCF25,0.0004505478674159
36711_at,MAFF,MAFF,0.0004495278778193
226391_at,BRAF,BRAF,0.0004473895655583
208621_s_at,EZR,EZR,0.0004453678548376
242377_x_at,THUMPD3,THUMPD3,0.0004443558659463
233842_x_at,RTFDC1,RTFDC1,0.0004426967400979
218080_x_at,FAF1,FAF1,0.0004418292377337
237768_x_at,,237768_x_at,0.0004398429649938
217939_s_at,AFTPH,AFTPH,0.0004382786653704
204324_s_at,GOLIM4,GOLIM4,0.0004370197703531
221598_s_at,MED27,MED27,0.0004342398305108
200082_s_at,RPS7,RPS7,0.0004334763908898
225001_at,RAB3D,RAB3D,0.0004319936180297
219543_at,PBLD,PBLD,0.0004295561168376
242573_at,,242573_at,0.0004292751473886
1554447_at,JPX,JPX,0.0004288371090815
223211_at,HACL1,HACL1,0.00042688856821
205346_at,ST3GAL2,ST3GAL2,0.0004254015538368
203031_s_at,UROS,UROS,0.0004253557148144
235009_at,BOD1L1,BOD1L1,0.0004240836128663
229917_at,AGAP2,AGAP2,0.0004204855558066
223185_s_at,BHLHE41,BHLHE41,0.0004195014761137
233868_x_at,ADAM33,ADAM33,0.0004190424307953
204365_s_at,REEP1,REEP1,0.000418947976096
211597_s_at,HOPX,HOPX,0.0004188844495742
223011_s_at,OCIAD1,OCIAD1,0.0004187532841378
209219_at,MIR1236|NELFE,MIR1236|NELFE,0.0004183375311394
236817_at,ADAT2,ADAT2,0.0004162423887889
224999_at,EGFR,EGFR,0.0004150554064774
212894_at,SUPV3L1,SUPV3L1,0.0004148605545108
208953_at,LARP4B,LARP4B,0.0004141288126445
211073_x_at,RNU86|RPL3|SNORD83B,RNU86|RPL3|SNORD83B,0.0004130781156474
228855_at,NUDT7,NUDT7,0.0004087128712426
240180_at,,240180_at,0.0004064699505028
200065_s_at,ARF1|MIR3620,ARF1|MIR3620,0.0004037366072896
243361_at,SREK1,SREK1,0.000403295719801
237018_at,,237018_at,0.0004019533437224
200640_at,YWHAZ,YWHAZ,0.0004012978789041
200792_at,XRCC6,XRCC6,0.0003984687531595
205572_at,ANGPT2,ANGPT2,0.0003982830441163
220609_at,LOC202181,LOC202181,0.0003965157651797
200780_x_at,GNAS,GNAS,0.0003956089655967
1569482_at,,1569482_at,0.0003919463348492
213132_s_at,MCAT,MCAT,0.0003899626548716
212954_at,DYRK4,DYRK4,0.0003897161970602
231016_s_at,ARNT,ARNT,0.0003895730237505
242319_at,DGKG,DGKG,0.000388648328506
214020_x_at,ITGB5,ITGB5,0.0003886460974637
222298_at,,222298_at,0.0003885940995146
244753_at,,244753_at,0.0003863831739456
222474_s_at,TOMM22,TOMM22,0.0003851319554466
222614_at,,222614_at,0.0003842483391768
229810_at,RSPH3,RSPH3,0.0003840451915567
232426_at,SV2B,SV2B,0.0003840184463845
205899_at,CCNA1,CCNA1,0.000383801837939
204610_s_at,CCDC85B,CCDC85B,0.0003835484487382
208713_at,HNRNPUL1,HNRNPUL1,0.0003833732636194
237072_at,,237072_at,0.0003779606366215
200748_s_at,FTH1,FTH1,0.0003754407747117
204863_s_at,IL6ST,IL6ST,0.0003752677784102
241745_at,LOC100507557,LOC100507557,0.0003719865743517
206809_s_at,HNRNPA3|HNRNPA3P1,HNRNPA3|HNRNPA3P1,0.0003701430664473
208248_x_at,APLP2,APLP2,0.0003700173510337
201579_at,FAT1,FAT1,0.000369412645017
204081_at,NRGN,NRGN,0.0003687220749471
213457_at,MFHAS1,MFHAS1,0.0003657820147339
1556941_a_at,LOC283484,LOC283484,0.0003643522212636
230150_at,BCAP29,BCAP29,0.0003643491519745
221772_s_at,PPP2R2D,PPP2R2D,0.0003635188444206
234677_at,RP11-338N10.1,RP11-338N10.1,0.0003633975912412
204795_at,PRR3,PRR3,0.0003631042922467
205711_x_at,ATP5C1,ATP5C1,0.0003615256491196
229289_at,FAM71E1,FAM71E1,0.0003608041372125
223328_at,ARMC10,ARMC10,0.0003604853723785
227051_at,BACE2,BACE2,0.0003601153254819
203297_s_at,JARID2,JARID2,0.0003597163525436
215001_s_at,GLUL,GLUL,0.0003593262247889
239096_at,,239096_at,0.0003574176952383
227084_at,DTNA,DTNA,0.0003541992473394
209421_at,MSH2,MSH2,0.0003537597073322
1554500_a_at,RGS7,RGS7,0.0003529011541951
204343_at,ABCA3,ABCA3,0.0003512115198828
