gene,gene_symbol,gene_label,F_score,p_value
212432_at,GRPEL1,GRPEL1,25.70165469457141,2.7294365873334937e-06
223193_x_at,FAM162A,FAM162A,25.69846053244683,2.732812013301161e-06
236602_at,,236602_at,25.675032842951083,2.7577008011976028e-06
208696_at,CCT5,CCT5,25.674065633639607,2.758733329639296e-06
201441_at,COX6B1,COX6B1,25.628898969881185,2.8073958438460134e-06
228775_at,EMC3,EMC3,25.626694284633956,2.809793650478687e-06
205257_s_at,AMPH,AMPH,25.597086506581505,2.84219983877368e-06
215962_at,,215962_at,25.561528034532135,2.8816278840933985e-06
201996_s_at,SPEN,SPEN,25.533311081564392,2.9133156352774035e-06
214170_x_at,FH,FH,25.52336137290912,2.92457449326922e-06
214782_at,CTTN,CTTN,25.501186402660757,2.949828501376564e-06
235567_at,RORA,RORA,25.486220041122348,2.966999673084858e-06
216101_at,,216101_at,25.483272457073,2.970393590147613e-06
223662_x_at,DDX59,DDX59,25.48300510122724,2.970701627390739e-06
200027_at,NARS,NARS,25.481895776600567,2.97198010014727e-06
241216_at,,241216_at,25.47991764176881,2.974261262655604e-06
214687_x_at,ALDOA,ALDOA,25.47495063249255,2.979997103935322e-06
201076_at,NHP2L1,NHP2L1,25.44978008045712,3.009239181372798e-06
200950_at,ARPC1A,ARPC1A,25.44275711308674,3.017450720610258e-06
210222_s_at,RTN1,RTN1,25.436038195468388,3.02532832871524e-06
239449_at,,239449_at,25.407253891203613,3.0593167476689175e-06
236139_at,,236139_at,25.406237066441108,3.0605245695220372e-06
227872_at,POLR3A,POLR3A,25.39274845886958,3.076593327927254e-06
224999_at,EGFR,EGFR,25.384550891391907,3.0864013324000888e-06
243827_at,,243827_at,25.375753144657928,3.096963213359127e-06
223060_at,C14orf119,C14orf119,25.328802025730564,3.1539610773378636e-06
226938_at,DCAF4,DCAF4,25.313495476379195,3.1727753336098295e-06
242052_at,,242052_at,25.30400997421153,3.1844924770205248e-06
210547_x_at,ICA1,ICA1,25.302845650224288,3.185933794176115e-06
201837_s_at,SUPT7L,SUPT7L,25.30086798958997,3.188383479314135e-06
224871_at,TPRG1L,TPRG1L,25.29764552026027,3.19237923369335e-06
212423_at,ZCCHC24,ZCCHC24,25.26917770400423,3.227902930569668e-06
201475_x_at,MARS|MIR6758,MARS|MIR6758,25.24755496122517,3.255156542988728e-06
1555278_a_at,CKAP5,CKAP5,25.245686057802143,3.257523222337565e-06
213235_at,KNOP1,KNOP1,25.239254967312185,3.2656807462603205e-06
225870_s_at,TRAPPC5,TRAPPC5,25.222919765228472,3.2864957700952073e-06
200006_at,PARK7,PARK7,25.217979276315393,3.292818000587848e-06
238718_at,,238718_at,25.21746523571515,3.2934765247959622e-06
1555803_a_at,C11orf57,C11orf57,25.20453558793564,3.3100850027281327e-06
218763_at,STX18,STX18,25.19764317653977,3.3189736723969265e-06
232551_at,SLC26A6,SLC26A6,25.19405343050938,3.3236128426227137e-06
226749_at,MRPS9,MRPS9,25.18686273696755,3.332925734837276e-06
233246_at,,233246_at,25.182819702707103,3.338173781310009e-06
239748_x_at,OCIAD1,OCIAD1,25.177255768839448,3.34540992940792e-06
239866_at,,239866_at,25.166363168917943,3.359623005323008e-06
227283_at,EFR3B,EFR3B,25.164309410248364,3.3623097801822153e-06
207081_s_at,PI4KA,PI4KA,25.152865987409378,3.377320857312023e-06
233884_at,HIVEP3,HIVEP3,25.151205021793466,3.3795053760143403e-06
212177_at,PNISR,PNISR,25.150887597260812,3.379923021373672e-06
214353_at,,214353_at,25.14597604389586,3.3863920767145976e-06
225923_at,VAPB,VAPB,25.143153817186978,3.3901150204150506e-06
