gene,F_score,p_value
225115_at,19.637591823386565,3.1009071856590096e-05
201415_at,19.62984244526453,3.110908237960801e-05
208846_s_at,19.621859842832443,3.121245028077359e-05
212833_at,19.62090901630269,3.122478623450835e-05
215290_at,19.61787910317886,3.126412961864541e-05
226291_at,19.61725897146241,3.1272188314842996e-05
208928_at,19.609469290920007,3.137359872920436e-05
240246_at,19.60562657970299,3.1423750011191635e-05
243993_at,19.593459228735917,3.1583091720884616e-05
239409_at,19.590742052007048,3.1618788991678416e-05
203033_x_at,19.590352076758872,3.162391575311309e-05
209059_s_at,19.589910981112258,3.162971559464162e-05
217964_at,19.58989903316495,3.162987271005302e-05
240478_at,19.586145229669732,3.167927502432364e-05
201725_at,19.57813666788642,3.178493839028364e-05
205346_at,19.576667865849696,3.180435683686159e-05
202724_s_at,19.561186208706832,3.200977849312801e-05
213009_s_at,19.558487743640757,3.204572329651121e-05
210766_s_at,19.555609296745047,3.208411137783068e-05
225237_s_at,19.55206267499721,3.2131475650806795e-05
201677_at,19.551253553797764,3.214229135558655e-05
217786_at,19.541028168067708,3.2279300029451005e-05
234906_at,19.539307729441656,3.230241103506843e-05
203816_at,19.536757140443832,3.2336704993960274e-05
202416_at,19.526065299640763,3.248087085482648e-05
228943_at,19.498669887586136,3.28532927653481e-05
217939_s_at,19.49819799961106,3.285974616022222e-05
211424_x_at,19.486547974205187,3.3019483111520796e-05
213315_x_at,19.481558280818803,3.3088142754414855e-05
211073_x_at,19.48125596741386,3.309230739803497e-05
236946_at,19.472282334150027,3.321617363328475e-05
215221_at,19.468125743274182,3.327371029281318e-05
242732_at,19.460409952652636,3.3380786711056545e-05
217782_s_at,19.454898899992134,3.345748400134018e-05
204586_at,19.452581958034287,3.348978305526711e-05
221495_s_at,19.446255967161317,3.35781334643677e-05
200981_x_at,19.433562071325863,3.375614475030385e-05
210501_x_at,19.432411581251746,3.377232648325398e-05
244334_at,19.432329436471818,3.377348216163367e-05
204720_s_at,19.431594040782656,3.378383011080529e-05
216232_s_at,19.424615485154398,3.388218994876021e-05
225771_at,19.414658656005756,3.402303833509197e-05
212165_at,19.40866734763081,3.410808138182086e-05
236462_at,19.404484454729605,3.416758484480426e-05
214769_at,19.397799711500323,3.426290032765415e-05
202363_at,19.395581722372174,3.4294586370597545e-05
229541_at,19.394043871098138,3.431657373100885e-05
238584_at,19.39326105935833,3.432777152446816e-05
200613_at,19.374472411368156,3.459766772108377e-05
200863_s_at,19.356423016441553,3.4859003760069004e-05
225556_at,19.355381565512705,3.4874144778434614e-05
212059_s_at,19.354337747431806,3.488932700998452e-05
243350_at,19.350368016114885,3.494712858204794e-05
240052_at,19.350239628653668,3.49489996234596e-05
